Section,Keywords,Category,Description,Action Taken,Similar Case (Judgment),section_desc
IPC Section 389 – Putting Person in Fear of Defamation in Order to Commit Extortion,Defamation Coercion,Criminal Offense,Involves the act of coercing someone into complying with demands by threatening to defame or damage their reputation.,"Police Action, Court Prosecution","Defamation Coercion Case, 2019",Covers cases of coercion through threats of defamation or public humiliation to extract money or services.
IPC Section 390 – Definition of Robbery,Robbery,Criminal Offense,Defines robbery as the act of taking property from someone through force or threats of force.,"Police Investigation, Legal Action","Robbery Case, 2020","Criminalizes the act of robbery, focusing on the use of force or threat of force to take property or goods from victims."
IPC Section 390 – Definition of Robbery,Forceful Robbery,Crime,Criminalizes robbery that is committed through the use of force or violence to take property from the victim.,"Legal Action, Police Investigation","Forceful Robbery Case, 2018","Specifies robbery involving the application of force, where perpetrators physically overpower victims to take their property."
IPC Section 390 – Definition of Robbery,Violent Robbery,Criminal Offense,Covers cases of robbery where violence is used in the commission of the crime.,"Court Filing, Legal Consultation","Violent Robbery Case, 2020","Defines violent robbery, where force or threats of harm are used to take property by intimidation or violence."
IPC Section 390 – Definition of Robbery,Armed Robbery,Crime,"Defines robbery where the perpetrator is armed with a weapon, and uses that weapon to intimidate or threaten the victim.","Police Investigation, Legal Action","Armed Robbery Case, 2019","Involves robberies committed with the use of a weapon, typically to force victims into compliance and hand over property."
IPC Section 390 – Definition of Robbery,Robbery with Violence,Criminal Offense,Penalizes robberies where violence is used or threatened to take property from victims.,"Court Action, Legal Consultation","Violent Robbery Case, 2020","Specifies robberies committed with violence or the threat of violence, including physical harm to the victim."
IPC Section 391 – Dacoity,Dacoity,Criminal Offense,"Defines the crime of dacoity, which involves a group of individuals conspiring to commit robbery using force.","Police Investigation, Legal Action","Dacoity and Armed Robbery Case, 2020","Defines dacoity as robbery committed by a group of people, with the use of violence or force."
IPC Section 391 – Dacoity,Armed Dacoity,Crime,"Penalizes dacoity where the offenders are armed, using weapons to intimidate or force their victims.","Police Action, Court Proceedings","Armed Dacoity Case, 2019",Covers dacoity where perpetrators use arms to forcibly take property or money from victims.
IPC Section 391 – Dacoity,Group Robbery,Criminal Offense,"Involves the commission of robbery by a group, as defined under the term ""dacoity.""","Legal Consultation, Court Filing","Group Robbery Case, 2020",Involves a group of individuals conspiring and acting together to commit robbery or theft using force.
IPC Section 391 – Dacoity,Forceful Robbery,Crime,"Penalizes robbery that involves force, making it a dacoity if done by a group of individuals.","Court Filing, Legal Action","Robbery with Force Case, 2018","Defines robbery carried out by a group with the use of force, making it a more serious form of theft."
IPC Section 391 – Dacoity,Dacoity with Weapons,Criminal Offense,"Specifies that dacoity includes the use of weapons, adding severity to the crime.","Legal Consultation, Court Action","Dacoity with Weapons Case, 2020","Defines dacoity where weapons are used in the robbery, making it a violent offense."
"IPC Section 392 – Robbery, when theft is committed",Robbery with Theft,Criminal Offense,"Specifies robbery that involves theft, with the added element of force or threat used in the commission of the crime.","Police Investigation, Legal Action","Theft and Robbery Case, 2019",Defines robbery that involves the element of theft but is aggravated by the use of force or threat.
"IPC Section 392 – Robbery, when theft is committed",Forceful Theft,Crime,Penalizes theft that involves the use of force or threats to take property.,"Legal Action, Court Proceedings","Forceful Theft Case, 2018",Focuses on theft where the victim is subjected to force or intimidation during the act of stealing property.
"IPC Section 392 – Robbery, when theft is committed",Aggravated Robbery,Criminal Offense,Specifies that robbery becomes aggravated when force or threats are used to take property from the victim.,"Court Filing, Police Action","Aggravated Robbery Case, 2020","Criminalizes the use of force or threats in robbery, making it an aggravated form of theft."
"IPC Section 392 – Robbery, when theft is committed",Armed Robbery,Crime,Involves cases where the victim is threatened with a weapon during the robbery.,"Legal Consultation, Police Investigation","Armed Robbery Case, 2019","Defines robbery where force or threats of violence are used, particularly involving the use of weapons."
"IPC Section 392 – Robbery, when theft is committed",Robbery by Force,Crime,"Focuses on the use of force to commit robbery, regardless of whether or not a weapon is used.","Court Action, Police Investigation","Robbery by Force Case, 2018","Criminalizes robbery where force is used, including physical violence or the threat of it."
IPC Section 393 – Attempt to Commit Robbery,Attempted Robbery,Criminal Offense,"Penalizes the attempt to commit robbery, even if the robbery is unsuccessful.","Police Investigation, Court Proceedings","Attempted Robbery Case, 2020","Defines and penalizes the attempt to commit robbery, even if the robbery does not take place."
IPC Section 393 – Attempt to Commit Robbery,Robbery Attempt,Crime,"Focuses on the criminal attempt to commit robbery, including preparation or steps taken to commit the crime.","Legal Action, Police Investigation","Robbery Attempt Case, 2019","Criminalizes any actions intended to commit robbery, including preparation and partial execution of the crime."
IPC Section 393 – Attempt to Commit Robbery,Preparation for Robbery,Criminal Offense,"Penalizes the preparation or conspiracy to commit robbery, even if the crime is not completed.","Court Action, Police Investigation","Robbery Preparation Case, 2018","Defines preparation or intent to commit robbery as a criminal offense, even if no actual robbery occurs."
IPC Section 393 – Attempt to Commit Robbery,Conspiracy to Robbery,Crime,"Criminalizes conspiracy to commit robbery, even if the robbery itself does not take place.","Legal Consultation, Police Investigation","Conspiracy to Commit Robbery Case, 2019","Focuses on the act of conspiring with others to commit robbery, making it a punishable offense even if the crime is not committed."
IPC Section 393 – Attempt to Commit Robbery,Attempted Armed Robbery,Crime,"Criminalizes the attempt to commit armed robbery, even if no weapon is used or the crime does not occur.","Police Investigation, Legal Action","Attempted Armed Robbery Case, 2020","Involves the attempt to rob using weapons, even if the robbery is unsuccessful."
"IPC Section 394 – Robbery, or Dacoity, with Hurt",Robbery with Injury,Criminal Offense,Penalizes robbery or dacoity that involves causing injury to the victim during the commission of the crime.,"Police Investigation, Legal Action","Robbery with Injury Case, 2018",Criminalizes robbery or dacoity where the victim is physically harmed during the crime.
"IPC Section 394 – Robbery, or Dacoity, with Hurt",Dacoity with Hurt,Crime,"Specifies dacoity where the victim is hurt, making it a more severe form of robbery.","Court Filing, Police Investigation","Dacoity with Hurt Case, 2020",Extends the punishment for dacoity to include cases where the victim is physically harmed during the robbery.
"IPC Section 394 – Robbery, or Dacoity, with Hurt",Robbery with Violence,Criminal Offense,Focuses on robbery where the victim is harmed or injured as a result of violence used during the crime.,"Court Proceedings, Police Investigation","Violent Robbery Case, 2019",Penalizes robbery or dacoity that involves harm or injury to the victim during the commission of the crime.
"IPC Section 394 – Robbery, or Dacoity, with Hurt",Injury during Robbery,Crime,"Covers situations where the victim is injured as a result of robbery, increasing the severity of the crime.","Police Investigation, Legal Action","Robbery with Injury Case, 2020","Involves cases of robbery where the victim is harmed during the robbery, often with the use of force or weapons."
"IPC Section 394 – Robbery, or Dacoity, with Hurt",Hurt in Dacoity,Criminal Offense,"Defines dacoity where the victim is hurt, making it a more serious form of the crime.","Court Action, Legal Consultation","Hurt in Dacoity Case, 2019",Specifically targets dacoity cases where the victim is physically harmed or injured during the robbery or theft.
IPC Section 395 – Dacoity with Five or More Persons,Dacoity with 5+ Persons,Criminal Offense,"Defines dacoity as involving five or more people, making it a more serious form of robbery.","Legal Action, Court Filing","Dacoity with 5 or More Persons Case, 2020","Extends the punishment for dacoity to cases involving five or more people, significantly increasing the severity of the crime."
IPC Section 395 – Dacoity with Five or More Persons,Group Dacoity,Crime,"Penalizes dacoity when committed by a group of five or more individuals, making it a severe form of robbery.","Police Investigation, Legal Action","Group Dacoity Case, 2019","Involves dacoity committed by a large group of individuals, making the crime more serious and punishable."
IPC Section 395 – Dacoity with Five or More Persons,Violent Dacoity,Crime,"Involves dacoity that is committed with violence or the threat of violence, especially when five or more people are involved.","Court Action, Police Investigation","Violent Dacoity Case, 2020","Criminalizes dacoity committed with force or violence, with five or more persons involved."
IPC Section 395 – Dacoity with Five or More Persons,Dacoity with Force and Arms,Criminal Offense,Defines dacoity involving the use of weapons or force when five or more persons are involved.,"Legal Consultation, Court Filing","Dacoity with Arms Case, 2019","Specifies the use of weapons in dacoity committed by five or more persons, making it a particularly severe form of robbery."
IPC Section 395 – Dacoity with Five or More Persons,Dacoity with Threat of Violence,Crime,Extends punishment for dacoity involving threats of violence when committed by five or more persons.,"Police Investigation, Legal Action","Threat of Violence Dacoity Case, 2020",Extends the severity of dacoity when the crime is committed by a group and involves threats of harm or violence.
IPC Section 395 – Dacoity with Five or More Persons,Dacoity with 5+ Persons,Criminal Offense,"Defines dacoity as involving five or more people, making it a more serious form of robbery.","Legal Action, Court Filing","Dacoity with 5 or More Persons Case, 2020","Extends the punishment for dacoity to cases involving five or more people, significantly increasing the severity of the crime."
IPC Section 395 – Dacoity with Five or More Persons,Dacoity,Crime,"Defines the crime of dacoity, a form of robbery involving multiple people.","Legal Action, Police Investigation","Robbery Case, 2019","A form of robbery involving multiple perpetrators, typically punished more severely than single-person robbery."
IPC Section 395 – Dacoity with Five or More Persons,Robbery,Crime,General term for theft with violence or threat of violence.,"Legal Action, Police Investigation","Robbery Case, 2020","Defines and penalizes robbery, with specific focus on acts of theft involving violence."
IPC Section 395 – Dacoity with Five or More Persons,Theft,Crime,"The unlawful taking of property without consent, punishable under different sections depending on the severity.",Court Filing,"Theft Case, 2018","Covers general theft, with dacoity being a more severe form involving multiple individuals."
IPC Section 395 – Dacoity with Five or More Persons,Five or More Persons,Crime,Describes the minimum number of individuals required for the act to qualify as dacoity.,"Legal Action, Police Investigation","Dacoity with 5 or More Persons Case, 2020",Specifies the requirement of five or more participants for the crime to be categorized as dacoity.
IPC Section 396 – Dacoity with Murder,Dacoity with Murder,Criminal Offense,Penalizes dacoity when it results in the murder of the victim during the crime.,"Police Investigation, Legal Action","Dacoity with Murder Case, 2019","Criminalizes the act of committing dacoity, resulting in the death of a victim, leading to more severe punishment."
IPC Section 396 – Dacoity with Murder,Dacoity,Crime,"Robbery with a group of people, involving the theft of property.","Legal Action, Court Filing","Dacoity Case, 2020",General classification for multiple participants committing robbery together.
IPC Section 396 – Dacoity with Murder,Murder,Crime,"The unlawful killing of a person, defined and penalized under Indian Penal Code Section 302.","Police Investigation, Legal Action","Murder Case, 2020","A criminal offense involving the intentional killing of a person, punished severely under Indian law."
IPC Section 396 – Dacoity with Murder,Intentional Killing,Crime,"A killing done with premeditation or malice, leading to a charge of murder.",Police Investigation,"Murder with Intent Case, 2019",Includes murder charges related to planned or intentional killings in a criminal act.
IPC Section 396 – Dacoity with Murder,Group Crime,Crime,Refers to a crime committed by a group of people with a shared intent to commit a criminal act.,Court Filing,"Group Crime Case, 2020","Involves multiple persons involved in committing a serious crime together, like dacoity."
"IPC Section 397 – Robbery, or Dacoity, with Attempt to Cause Death or Grievous Hurt",Robbery with Grievous Hurt,Crime,Penalizes robbery or dacoity when the perpetrator attempts to cause grievous hurt or death to the victim.,"Court Filing, Police Investigation","Robbery with Attempted Murder Case, 2020",Covers cases where robbery or dacoity is aggravated by an attempt to cause significant harm or death to the victim.
"IPC Section 397 – Robbery, or Dacoity, with Attempt to Cause Death or Grievous Hurt",Attempted Murder,Crime,"The attempted killing of a person, which is punished as an attempted murder under the Indian Penal Code.","Legal Action, Court Filing","Attempted Murder Case, 2020","Criminalizes any attempt to kill another person, even if the murder is not completed."
"IPC Section 397 – Robbery, or Dacoity, with Attempt to Cause Death or Grievous Hurt",Death Threat,Crime,"A threat to kill someone, which is a criminal offense under Section 506 of IPC.",Legal Action,"Death Threat Case, 2018","Refers to any verbal or written threat to cause death, considered a criminal offense under the IPC."
"IPC Section 397 – Robbery, or Dacoity, with Attempt to Cause Death or Grievous Hurt",Grievous Hurt,Crime,"Any physical injury that results in severe harm, defined under Section 320 of IPC.",Police Investigation,"Grievous Hurt Case, 2020",Defines and penalizes any harm or injury caused to a person that results in significant pain or suffering.
"IPC Section 397 – Robbery, or Dacoity, with Attempt to Cause Death or Grievous Hurt",Deadly Weapon,Crime,"A weapon capable of causing death or serious injury, used in the commission of crimes like robbery or dacoity.",Court Filing,"Deadly Weapon Case, 2019","A weapon that can cause significant harm, defined under IPC in the context of aggravated crimes."
IPC Section 398 – Attempt to Commit Robbery or Dacoity with a Deadly Weapon,Attempted Dacoity with Weapon,Criminal Offense,Penalizes an attempt to commit robbery or dacoity using a deadly weapon.,"Legal Action, Police Investigation","Attempted Dacoity with Deadly Weapon Case, 2019",Criminalizes the use of a deadly weapon in the commission of an attempted robbery or dacoity.
IPC Section 398 – Attempt to Commit Robbery or Dacoity with a Deadly Weapon,Deadly Weapon,Crime,"Refers to any weapon capable of causing death or serious injury, involved in the crime.","Court Filing, Legal Action","Weapon Related Case, 2020","Involves the use of a dangerous or lethal weapon in a crime, intensifying the severity of the offense."
IPC Section 398 – Attempt to Commit Robbery or Dacoity with a Deadly Weapon,Attempted Crime,Crime,"An attempt to commit a crime, even if the crime is not completed, which is punishable under IPC Section 511.","Police Investigation, Legal Action","Attempted Crime Case, 2019","Covers all crimes where the perpetrator tries to commit an offense, but the crime is not completed."
IPC Section 398 – Attempt to Commit Robbery or Dacoity with a Deadly Weapon,Robbery with Weapon,Crime,"A robbery involving the use of a weapon, making it an aggravated offense.",Court Filing,"Weapon Robbery Case, 2020","Defines and penalizes robbery committed with a weapon, leading to more severe punishment."
IPC Section 398 – Attempt to Commit Robbery or Dacoity with a Deadly Weapon,Dacoity,Crime,A more serious form of robbery committed with a group of people.,"Police Investigation, Legal Action","Dacoity Case, 2020",Penalizes crimes involving group theft with the use of force or threats.
IPC Section 399 – Making Preparation to Commit Dacoity,Preparation for Dacoity,Crime,"Penalizes preparing or conspiring to commit dacoity, even if the actual crime does not occur.","Police Investigation, Legal Action","Dacoity Preparation Case, 2020","Criminalizes the act of preparing or conspiring to commit dacoity, even if the crime is not fully carried out."
IPC Section 399 – Making Preparation to Commit Dacoity,Conspiracy,Crime,"The act of plotting or scheming to commit a crime, which is punishable under IPC.",Court Filing,"Conspiracy Case, 2020","Covers the planning stages of a crime, where an individual may not directly commit the offense but participates in its planning."
IPC Section 399 – Making Preparation to Commit Dacoity,Dacoity,Crime,"A form of robbery involving multiple persons, usually with the intent to cause harm or steal property.","Police Investigation, Court Filing","Dacoity Case, 2019","Defines group robbery, which is considered a more severe crime than individual robbery."
IPC Section 399 – Making Preparation to Commit Dacoity,Attempt,Crime,"A preliminary act or behavior towards committing a crime, punished under Section 511 of IPC.",Legal Action,"Attempted Dacoity Case, 2020","Penalizes any attempt to commit a crime, even if the crime is not completed."
IPC Section 399 – Making Preparation to Commit Dacoity,Criminal Act,Crime,Any illegal activity or behavior punishable under the IPC.,"Court Filing, Police Investigation","Criminal Activity Case, 2019",Covers any act that is deemed illegal under the IPC and is punishable by law.
IPC Section 400 – Membership of Gang of Dacoits,Gang of Dacoits,Criminal Offense,Penalizes individuals for being a member of a gang involved in dacoity.,"Court Filing, Police Investigation","Gang of Dacoits Case, 2019","Criminalizes being a member of a group dedicated to the crime of dacoity, even if the individual does not directly commit it."
IPC Section 400 – Membership of Gang of Dacoits,Criminal Gang,Crime,"A group of individuals who engage in illegal activities, such as robbery or dacoity.",Legal Action,"Criminal Gang Case, 2020",Defines criminal gangs and penalizes membership in groups that are involved in serious crimes like dacoity.
IPC Section 400 – Membership of Gang of Dacoits,Dacoity,Crime,A form of organized crime where multiple people commit robbery together.,"Police Investigation, Legal Action","Dacoity Case, 2020","Covers the act of robbery committed by a group, with severe legal consequences."
IPC Section 400 – Membership of Gang of Dacoits,Conspiracy,Crime,"Plotting or planning a crime as part of a group, punishable under IPC.",Police Investigation,"Conspiracy Case, 2019","Penalizes the act of organizing or participating in a criminal plan or conspiracy, even before the crime is committed."
IPC Section 400 – Membership of Gang of Dacoits,Group Crime,Crime,A crime committed by a group of individuals working together towards a criminal goal.,"Legal Action, Court Filing","Group Crime Case, 2019","Covers any crime committed by a group, with dacoity being a common example."
IPC Section 401 – Belonging to Gang of Thieves,Gang of Thieves,Criminal Offense,Penalizes a person for being a member of a gang associated with theft.,"Police Arrest, Court Trial","State vs. Rajan, 2017",This section punishes any person habitually associating with others for committing theft.
IPC Section 401 – Belonging to Gang of Thieves,Organized Crime,Crime,"Crimes committed systematically by a group, often involving planning and coordination.",Criminal Investigation,"Organized Theft Ring Case, 2016",Criminalizes participation in organized theft activities.
IPC Section 401 – Belonging to Gang of Thieves,Habitual Offender,Crime,"A person who repeatedly engages in criminal activity, especially theft-related.","Surveillance, Legal Action","Repeat Theft Case, 2015","Targets individuals consistently involved in crime, particularly gangs."
IPC Section 401 – Belonging to Gang of Thieves,Theft,Property Crime,Unauthorized taking of someone else's property.,"Arrest, Property Recovery","Burglary Case, 2018",Forms the basis of gang theft-related actions.
IPC Section 401 – Belonging to Gang of Thieves,Criminal Association,Criminal Behavior,An ongoing relationship with known criminals for unlawful acts.,"Legal Monitoring, Investigation","Gang Membership Case, 2019",Punishes forming or joining a criminal association for theft.
IPC Section 402 – Assembling for Purpose of Committing Dacoity,Dacoity Planning,Conspiracy,"Gathering with others to plan dacoity is punishable, even if the act is not committed.","Preemptive Arrest, Surveillance","Pre-Dacoity Arrest Case, 2020",Focuses on punishing preparatory assemblies for dacoity.
IPC Section 402 – Assembling for Purpose of Committing Dacoity,Unlawful Assembly,Public Offense,A gathering of people with criminal intent.,"Dispersal by Police, FIR","Illegal Assembly Case, 2016",Criminalizes assembling with the intention of committing dacoity.
IPC Section 402 – Assembling for Purpose of Committing Dacoity,Criminal Conspiracy,Crime,Agreement between two or more people to commit a crime.,Legal Proceedings,"Conspiracy Planning Case, 2019",Addresses group-based intentions for committing violent theft.
IPC Section 402 – Assembling for Purpose of Committing Dacoity,Armed Gathering,Crime,Assembling while possessing deadly weapons for a criminal act.,"Seizure, Legal Charge","Weapon Possession in Assembly, 2021",Indicates a greater threat when weapons are present in such gatherings.
IPC Section 402 – Assembling for Purpose of Committing Dacoity,Preventive Action,Police Procedure,Actions taken to stop a crime before it occurs.,"Detainment, Inquiry","Preventive Detainment, 2018",Encourages proactive law enforcement in dacoity-related gatherings.
IPC Section 403 – Dishonest Misappropriation of Property,Misappropriation,Property Crime,Using someone else's property for personal gain without their consent.,"FIR, Property Seizure","Company Property Misuse Case, 2017",Penalizes dishonest use of property not legally owned.
IPC Section 403 – Dishonest Misappropriation of Property,Dishonesty,Ethical Offense,Lack of integrity or intent to deceive.,"Court Summons, Fine","Fraudulent Property Use, 2019",Basis for civil and criminal offenses involving deceit.
IPC Section 403 – Dishonest Misappropriation of Property,Property Dispute,Legal Conflict,Disagreement or misuse related to ownership or possession of property.,"Mediation, Legal Notice","Family Property Dispute, 2020",Frequently arises in personal and corporate contexts.
IPC Section 403 – Dishonest Misappropriation of Property,Unauthorized Possession,Civil/Criminal,Holding or using someone’s property without permission.,Police Seizure,"Possession without Ownership, 2015",May lead to civil or criminal action.
IPC Section 403 – Dishonest Misappropriation of Property,Conversion of Property,Legal Misuse,Illegally treating someone else's property as one's own.,"Legal Action, Compensation","Office Asset Misuse, 2016",This section punishes treating others’ property as your own dishonestly.
IPC Section 404 – Dishonest Misappropriation of Property of Deceased Person,Deceased Property Use,Property Offense,"Using property of someone who has died, without lawful claim or consent.","Legal Heir Check, Court Trial","Misuse of Inheritance Case, 2018",Protects assets of deceased individuals from fraudulent possession.
IPC Section 404 – Dishonest Misappropriation of Property of Deceased Person,Inheritance Dispute,Civil Conflict,Legal disagreement over assets of a deceased person.,"Succession Certificate, Court Order","Will Dispute Case, 2021",Arises commonly in family law regarding asset division.
IPC Section 404 – Dishonest Misappropriation of Property of Deceased Person,Estate Misappropriation,Property Crime,Illegal use of property belonging to a deceased’s estate.,"FIR, Asset Recovery","Trust Breach on Inheritance, 2020",Often involves executors or relatives.
IPC Section 404 – Dishonest Misappropriation of Property of Deceased Person,No Legal Claim,Legal Irregularity,Lacking legal basis for holding property.,Court Summons,"False Heir Case, 2019",Highlights the need for probate or succession documents.
IPC Section 404 – Dishonest Misappropriation of Property of Deceased Person,Unlawful Possession,Civil/Criminal,Holding property without legal ownership or permission.,"Eviction, Legal Notice","Possession Without Inheritance, 2020",Treated seriously in estate-related legal actions.
IPC Section 405 – Criminal Breach of Trust,Breach of Trust,Criminal Offense,A person entrusted with property dishonestly misuses or misappropriates it.,"FIR, Arrest","Employee Trust Breach, 2016",Common in employer-employee and fiduciary relationships.
IPC Section 405 – Criminal Breach of Trust,Trust Violation,Ethical/Legal,Breaking a legal or moral obligation entrusted by another party.,"Legal Complaint, Damages","Misuse of Client Funds, 2020",Occurs often in business or financial transactions.
IPC Section 405 – Criminal Breach of Trust,Entrusted Property,Legal Responsibility,Property handed to someone with the expectation of proper use or return.,"Documentation Review, Legal Action","Bank Locker Case, 2017",Key term in identifying breach of trust.
IPC Section 405 – Criminal Breach of Trust,Misuse of Funds,Financial Offense,Spending or diverting money from intended purpose.,"Audit, Court Filing","Corporate Misappropriation, 2021",Often triggers fraud investigations in organizations.
IPC Section 405 – Criminal Breach of Trust,Fiduciary Duty,Legal Obligation,Legal responsibility held by one party on behalf of another.,"Legal Action, Disqualification","Trustee Violation Case, 2018","Commonly used in finance, law, and administration contexts."
IPC Section 406 – Punishment for Criminal Breach of Trust,Breach of Trust,Criminal Offense,Punishes anyone who dishonestly misuses property entrusted to them.,"FIR, Arrest","State vs. Ram Lal, 2017",Imposes punishment for the act of criminal breach of trust.
IPC Section 406 – Punishment for Criminal Breach of Trust,Dishonest Misuse,Crime,Using entrusted property for personal gain.,"Court Trial, Evidence Collection","Employee Theft Case, 2019",Focuses on dishonest handling of entrusted assets.
IPC Section 406 – Punishment for Criminal Breach of Trust,Entrusted Property,Legal Obligation,Property handed over with trust and legal responsibility.,Documentation Review,"Bank Deposit Misuse, 2018",Central to determining breach of trust.
IPC Section 406 – Punishment for Criminal Breach of Trust,Fiduciary Misconduct,Ethical Offense,Misbehavior by someone in a position of trust.,"Investigation, Legal Action","Misuse by Company Accountant, 2020",Highlights ethics in trust-based roles.
IPC Section 406 – Punishment for Criminal Breach of Trust,Legal Accountability,Legal Standard,Person held responsible for property misuse.,Court Summons,"Breach by NGO Director, 2021",Establishes liability for entrusted duties.
IPC Section 407 – Criminal Breach of Trust by Carrier,Carrier Liability,Commercial Law,Special trust breach committed by a transporter or carrier of goods.,"Seizure of Goods, FIR","Transport Fraud Case, 2019",Applies when transporters dishonestly dispose of or misuse goods.
IPC Section 407 – Criminal Breach of Trust by Carrier,Transportation Fraud,Logistics Offense,Illegally disposing or diverting goods during transit.,Complaint by Consignor,"Goods Lost in Transit, 2020",Frequent in courier or freight logistics disputes.
IPC Section 407 – Criminal Breach of Trust by Carrier,Goods Misappropriation,Property Crime,Unauthorized use of goods meant for delivery.,"Legal Notice, Recovery Attempt","Company Logistics Case, 2017",Deals with misplaced or intentionally diverted consignments.
IPC Section 407 – Criminal Breach of Trust by Carrier,Misdelivery,Negligence,Delivering goods to the wrong recipient with dishonest intent.,"Fine, Investigation","Cargo Diversion Case, 2016",Often caused by dishonest intent or negligence.
IPC Section 407 – Criminal Breach of Trust by Carrier,Consignment Violation,Business Law,Disregarding contractual obligations in a shipment.,Court Intervention,"Breach of Carrier Terms, 2021",Relates to commercial shipping laws.
IPC Section 408 – Criminal Breach of Trust by Clerk or Servant,Employee Fraud,Workplace Crime,"Penalizes trust breach by clerks, assistants, or domestic workers.","Employer FIR, Suspension","Office Cash Theft Case, 2016",Applies to people serving in subordinate job roles.
IPC Section 408 – Criminal Breach of Trust by Clerk or Servant,Office Theft,Financial Offense,Theft or dishonest misappropriation at workplace.,"Internal Audit, Termination","Finance Assistant Case, 2018",Focuses on professional settings.
IPC Section 408 – Criminal Breach of Trust by Clerk or Servant,Clerical Breach,Corporate Crime,Violation of trust within documentation or office processes.,"Disciplinary Action, Legal Filing","HR Fraud Case, 2020",Clerical roles come under scrutiny here.
IPC Section 408 – Criminal Breach of Trust by Clerk or Servant,Misuse of Authority,Ethical Misconduct,Using work access or role for illegal benefit.,"Legal Notice, Inquiry","Bank Clerk Misuse, 2019",Role-based breach of trust.
IPC Section 408 – Criminal Breach of Trust by Clerk or Servant,Workplace Dishonesty,HR Violation,Ethical and legal breach by an employee.,"Termination, Complaint","Fraud by Store Assistant, 2022",Organizations are encouraged to monitor.
"IPC Section 409 – Criminal Breach of Trust by Public Servant, Banker, etc.",Public Servant Fraud,Government Crime,"Punishes breach of trust by government officials, bankers, or agents.",Anti-Corruption Bureau Inquiry,"Bank Manager Fraud Case, 2017",Designed for positions of public or fiduciary responsibility.
"IPC Section 409 – Criminal Breach of Trust by Public Servant, Banker, etc.",Banker Misconduct,Financial Crime,Mishandling funds or deposits by a bank official.,"Investigation, Arrest","Fixed Deposit Scam, 2018",Common in private and public sector banks.
"IPC Section 409 – Criminal Breach of Trust by Public Servant, Banker, etc.",Government Breach,White Collar Crime,Violation of law by government employee for personal gain.,"Suspension, Legal Case","Panchayat Secretary Scam, 2021",Connected with embezzlement or corruption.
"IPC Section 409 – Criminal Breach of Trust by Public Servant, Banker, etc.",Agent Liability,Civil/Criminal,Holding an agent accountable for misuse of property or authority.,"Compensation Order, Trial","Fraud by Real Estate Agent, 2020",Covers private and public agents.
"IPC Section 409 – Criminal Breach of Trust by Public Servant, Banker, etc.",Institutional Trust Breach,Administrative Offense,Misuse of organizational trust or delegated power.,"Audit, Suspension","Hospital Fund Misuse, 2019",Focused on safeguarding public funds.
IPC Section 410 – Stolen Property – Definition,Stolen Property,Legal Definition,Defines what constitutes stolen property under Indian law.,Property Seizure,"Possession of Stolen Mobile Case, 2022",Lays legal ground for prosecution of receivers.
IPC Section 410 – Stolen Property – Definition,Possession of Stolen Goods,Property Offense,Being in possession of goods acquired through theft.,"Confiscation, Arrest","Recovered Bike Case, 2016",Knowledge or suspicion of theft can be enough for prosecution.
IPC Section 410 – Stolen Property – Definition,Knowledge of Theft,Criminal Intent,If a person knows or has reason to believe property is stolen.,"Investigation, Charge Sheet","Gold Chain Recovery Case, 2018",Key factor in prosecution.
IPC Section 410 – Stolen Property – Definition,Definition Clause,Law Interpretation,Establishes scope and understanding of legal terms.,Used in Court Arguments,"Section Interpretation Ruling, 2019",Essential for broader application of IPC theft-related charges.
IPC Section 410 – Stolen Property – Definition,Recovery by Police,Criminal Procedure,Goods identified and retrieved by law enforcement.,Evidence Presentation in Court,"Recovered Jewelry Case, 2020",Helps support conviction of theft or receiving stolen property.
IPC Section 411 – Dishonestly Receiving Stolen Property,Stolen Goods,Criminal Offense,Possessing property known or believed to be stolen.,"Seizure, Legal Proceedings","Ramesh vs. State, 2018",Penalizes those who accept or retain stolen goods.
IPC Section 411 – Dishonestly Receiving Stolen Property,Dishonest Possession,Property Crime,Illegally retaining stolen items.,"FIR, Arrest","Theft Receiver Case, 2020",Receiver is treated similarly to the thief.
IPC Section 411 – Dishonestly Receiving Stolen Property,Knowledge of Theft,Criminal Intent,Awareness of stolen nature of the goods.,"Evidence Collection, Prosecution","Gold Chain Case, 2017",Must prove knowledge or reasonable belief of theft.
IPC Section 411 – Dishonestly Receiving Stolen Property,Recovery of Property,Criminal Procedure,Police recovering stolen items from suspect.,"Police Raid, Recovery","Electronics Seizure Case, 2021",Recovery strengthens prosecution case.
IPC Section 411 – Dishonestly Receiving Stolen Property,Goods Tracing,Investigation,Tracking down stolen property back to recipient.,Digital/Manual Investigation,"Mobile Theft Network Case, 2019",Modern forensics aids in tracking.
IPC Section 412 – Receiving Property Stolen in Dacoity,Dacoity Goods,Serious Offense,Receiving property stolen during a dacoity.,Special Investigation Team (SIT) Action,"Village Loot Case, 2020",Higher severity than ordinary theft receivers.
IPC Section 412 – Receiving Property Stolen in Dacoity,Dacoity Involvement,Aggravated Crime,Link to dacoity through stolen goods.,"Arrest, Charge Sheet","Dacoity Gang Link Case, 2021",Stronger penalties due to violence aspect.
IPC Section 412 – Receiving Property Stolen in Dacoity,Armed Robbery Possession,Criminal Link,Possessing items taken by violent robbers.,Evidence from Forensic Lab,"Weapon Seizure Incident, 2019",Often tied with organized crime.
